OG7_0000583	apis|A0A8R2JQ71
OG7_0004827	ahos|F4B7V5
OG7_0003340	apis|A0A8R2F915
OG7_0006793	apis|C4WXT5
OG7_0005800	apis|A0A8R1W831
OG7_0000967	apis|A0A8R2D2B9
OG7_0006906	apis|A0A8R2A4C8
OG7_0006588	apis|A0A8R2H752
OG7_0001834	apis|A0A8R2FBR2
OG7_0006625	apis|A0A8R1W3D5
OG7_0005301	apis|A0A8R2A0U1
OG7_0003841	apis|A0A8R2JLH3
OG7_0004577	ahos|F4B8T4
OG7_0000605	apis|A0A8R2B6D8
OG7_0007277	apis|A0A8R2H446
OG7_0001838	apis|A0A8R2H9P6
OG7_0006584	apis|A0A8R2B7C8
OG7_0007654	apis|A0A8R1WXJ9
OG7_0007821	apis|A0A8R2NN02
OG7_0005448	apis|A0A8R2H5U8
OG7_0006522	apis|A0A8R2H977
OG7_0008081	apis|A0A8R2A3D8
OG7_0000819	apis|A0A8R2AZX0
OG7_0002764	apis|X1WTM0
OG7_0005265	apis|C4WU82
OG7_0007152	apis|A0A8R1VYK0
OG7_0000740	apis|A0A8R2NLL0
OG7_0005444	apis|A0A8R2JM19
OG7_0007658	apis|C4WVD7
OG7_0000502	apis|A0A8R2NJU4
OG7_0006759	apis|A0A8R2B5U6
OG7_0002930	apis|A0A8R2A7D8
OG7_0001690	apis|C4WSG0
OG7_0002768	apis|A0A8R2JMQ1
OG7_0006185	apis|C4WTD0
OG7_0004271	ahos|F4B4K5
OG7_0004603	ahos|F4B8H6
OG7_0007571	apis|A0A8R2NLY2
OG7_0006872	apis|A0A8R2D6B6
OG7_0007320	apis|A0A8R1W7U3
OG7_0001847	apis|C4WV46
OG7_0008263	apis|C4WS93
OG7_0007994	apis|A0A8R2A0P0
OG7_0004537	ahos|F4B6E0
OG7_0007040	apis|A0A8R2FD76
OG7_0007237	apis|A0A8R2A8Q7
OG7_0001878	apis|A0A8R2AZ39
OG7_0007998	apis|A0A8R2BAG5
OG7_0001874	apis|A0A8R1W6F0
OG7_0002181	apis|A0A8R1WYC2
OG7_0001950	apis|A0A8R2A8H1
OG7_0004756	ahos|F4B9Z4
OG7_0001528	ahos|F4B431
OG7_0006190	apis|A0A8R2D7B9
OG7_0001685	apis|A0A8R2JLQ9
OG7_0006917	apis|A0A8R2A3X6
OG7_0005787	apis|A0A8R2A936
OG7_0003228	apis|A0A8R2JTS3
OG7_0008402	apis|A0A8R2AD76
OG7_0001524	apis|A0A8R2D3E0
OG7_0002429	ahos|F4B8K8
OG7_0003224	apis|A0A8R2A8K4
OG7_0004145	ahos|F4B6M7
OG7_0005477	apis|A0A8R1W449
OG7_0000346	apis|A0A8R2JPK9
OG7_0006137	apis|A0A8R1W6T4
OG7_0004009	apis|A0A8R2NT41
OG7_0001503	apis|A0A8R2A5P6
OG7_0002070	apis|A0A8R2H9T1
OG7_0003671	apis|A0A8R2A598
OG7_0000389	ahos|F4B9U5
OG7_0003920	apis|A0A8R2D6L7
OG7_0003203	apis|A0A8R1W6N1
OG7_0007726	apis|A0A8R2D7R7
OG7_0007290	apis|A0A8R2A4C1
OG7_0003558	apis|A0A8R2D6E9
OG7_0008010	apis|A0A8R1W0D3
OG7_0001258	apis|A0A8R2D5D4
OG7_0004590	ahos|F4B479
OG7_0003554	apis|A0A8R2BAT3
OG7_0002657	apis|A0A8R2D734
OG7_0006545	apis|X1WN39
OG7_0001254	apis|A0A8R2H5W0
OG7_0007767	apis|A0A8R2JVD5
OG7_0004851	ahos|F4B9E1
OG7_0004624	ahos|F4B9J3
OG7_0008170	apis|A0A8R2HAB8
OG7_0004122	ahos|F4B8J6
OG7_0006252	apis|A0A8R2JMD2
OG7_0003462	apis|A0A8R2D634
OG7_0004585	ahos|F4B7P0
OG7_0004628	ahos|F4B4P2
OG7_0007285	apis|A0A8R2NKJ3
OG7_0003394	apis|A0A8R2JS07
OG7_0002238	apis|A0A8R2B4S0
OG7_0000067	apis|A0A8R2A6A9
OG7_0006006	apis|A0A8R2H5A9
OG7_0002541	ahos|F4B9W5
OG7_0000026	apis|A0A8R2H607
OG7_0003439	apis|A0A8R2JMV0
OG7_0001637	apis|A0A8R2A5N1
OG7_0002997	apis|A0A8R2FDV6
OG7_0002110	apis|A0A8R2D5S5
OG7_0004350	ahos|F4B3T8
OG7_0002234	apis|A0A8R2ADK4
OG7_0003398	apis|C4WVQ1
OG7_0005735	apis|A0A8R2NTW8
OG7_0005606	apis|A0A8R2H9Q9
OG7_0008200	apis|A0A8R2JLH5
OG7_0000871	apis|A0A8R1VZN8
OG7_0004660	ahos|F4B5K9
OG7_0002089	apis|A0A8R2A2W7
OG7_0007802	apis|C4WVG2
OG7_0006501	apis|C4WXQ7
OG7_0000370	apis|A0A8R2B3M6
OG7_0005388	apis|C4WUP0
OG7_0000521	apis|A0A8R2NLT6
OG7_0002046	apis|A0A8R2B9F0
OG7_0007519	apis|A0A8R1W7U0
OG7_0003013	apis|A0A8R2JRM1
OG7_0005925	apis|A0A8R2B8C2
OG7_0005384	apis|C4WTL5
OG7_0004219	ahos|F4B953
OG7_0005753	apis|A0A8R2JKV8
OG7_0006216	apis|A0A8R1XHU7
OG7_0003964	apis|A0A8R2AEV8
OG7_0002326	ahos|F4B536
OG7_0003968	apis|A0A8R2FDY5
OG7_0003730	apis|A0A8R2AZR9
OG7_0003173	apis|A0A8R2A3A8
OG7_0008421	apis|A0A8R2A4V8
OG7_0002367	ahos|F4B7E5
OG7_0002505	ahos|F4B719
OG7_0007936	apis|A0A8R1VZ99
OG7_0008146	apis|A0A8R2D6P2
OG7_0008189	apis|A0A8R1W5P0
OG7_0005942	apis|A0A8R1W4E3
OG7_0007116	apis|A0A8R2A416
OG7_0001417	apis|A0A8R2A9E3
OG7_0003619	apis|C4WYC9
OG7_0002683	apis|A0A8R2NLW3
OG7_0003260	apis|C4WRU0
OG7_0005814	apis|A0A8R2A1F6
OG7_0001560	apis|C4WSE7
OG7_0000486	apis|A0A8R2H6L4
OG7_0005818	apis|A0A8R2NRI1
OG7_0000449	apis|A0A8R2H539
OG7_0000776	apis|A0A8R2NRL8
OG7_0003797	apis|A0A8R2A4D4
OG7_0006450	apis|A0A8R2A796
OG7_0003336	apis|A0A8R1W0M2
OG7_0008586	apis|A0A8R2A6X1
OG7_0002720	apis|A0A8R2NQ11
OG7_0002296	apis|C4WV57
OG7_0007492	apis|A0A8R2D8T0
OG7_0008549	apis|C4WRP5
OG7_0004101	ahos|F4B4I3
OG7_0007076	apis|A0A8R2NQL8
OG7_0004712	ahos|F4B6H5
OG7_0007364	apis|A0A8R2H7E2
OG7_0007368	apis|A0A8R2B2C5
OG7_0000251	apis|A0A8R2FAT6
OG7_0002946	apis|A0A8R2D1A1
OG7_0005025	ahos|F4B8U7
OG7_0003913	apis|A0A8R2B5R7
OG7_0000736	apis|A0A8R1W4E0
OG7_0002989	apis|A0A8R2HA46
OG7_0000557	apis|A0A8R2NXJ7
OG7_0008023	apis|A0A8R1W766
OG7_0007883	apis|A0A8R2JNH2
OG7_0007107	apis|A0A8R1VZH9
OG7_0001406	apis|A0A8R2A0E1
OG7_0008457	apis|A0A8R2AGI8
OG7_0008343	apis|C4WWJ7
OG7_0005292	apis|A0A8R2HCD3
OG7_0007036	apis|C4WUA3
OG7_0003411	apis|A0A8R2F9F1
OG7_0003068	apis|A0A8R1W2U9
OG7_0001791	apis|A0A8R2JST0
OG7_0000641	apis|A0A8R2H3F8
OG7_0002123	apis|A0A8R2FCN8
OG7_0000397	apis|A0A8R2BAT2
OG7_0005345	apis|A0A8R2A133
OG7_0003376	apis|A0A8R2NMS7
OG7_0003805	apis|A0A8R2FBU0
OG7_0003064	apis|A0A8R2JM06
OG7_0008629	apis|C4WV88
OG7_0002602	apis|C4WVG1
OG7_0005799	apis|A0A8R2A370
OG7_0002104	apis|A0A8R2D428
OG7_0003495	apis|A0A8R2FB97
OG7_0002108	apis|A0A8R2BB53
OG7_0000330	apis|A0A8R2D7I9
OG7_0000831	ahos|F4B3P4
OG7_0007313	apis|A0A8R2JQR8
OG7_0005042	ahos|F4B903
OG7_0001715	apis|A0A8R2A5J1
OG7_0005617	apis|A0A8R2A6M1
OG7_0008008	apis|A0A8R2JS53
OG7_0005322	apis|C4WY46
OG7_0001896	apis|A0A8R1W0A2
OG7_0008004	apis|A0A8R2AC17
OG7_0007976	apis|A0A8R1TGS3
OG7_0005863	apis|A0A8R2B4F4
OG7_0000227	apis|A0A8R2JMI0
OG7_0003770	apis|A0A8R2B571
OG7_0003133	apis|A0A8R1W9R0
OG7_0003480	apis|A0A8R2FBQ4
OG7_0005150	apis|C4WV75
OG7_0000266	apis|A0A8R2H7P0
OG7_0006207	apis|A0A8R2FD29
OG7_0005762	apis|A0A8R2AC28
OG7_0007289	apis|A0A8R2D5F7
OG7_0001083	ahos|F4B7Y9
OG7_0008450	apis|A0A8R1VZ24
OG7_0004589	ahos|F4B8I7
OG7_0000891	apis|A0A8R2JPI7
OG7_0004546	ahos|F4B4X2
OG7_0002442	apis|A0A8R2H9K5
OG7_0007246	apis|A0A8R1W5B0
OG7_0005739	apis|C4WT00
OG7_0002856	apis|A0A8R1W7D6
OG7_0001902	apis|A0A8R1VZ63
OG7_0003435	apis|A0A8R2FB03
OG7_0001261	apis|A0A8R2JNP0
OG7_0000390	ahos|F4B9B3
OG7_0003561	apis|A0A8R2H3S4
OG7_0000385	apis|A0A8R2NQN3
OG7_0006908	apis|A0A8R2D1W5
OG7_0004864	ahos|F4B716
OG7_0004005	apis|A0A8R2NLK9
OG7_0000924	apis|A0A8R1W2N8
OG7_0003193	apis|A0A8R2NSZ4
OG7_0006904	apis|A0A8R2B533
OG7_0000928	apis|C4WV74
OG7_0004868	ahos|F4B3Y8
OG7_0005681	apis|A0A8R2F946
OG7_0000550	apis|A0A8R1W683
OG7_0001836	apis|A0A8R2B120
OG7_0006549	apis|A0A8R2A7M7
OG7_0006586	apis|A0A8R1TE53
OG7_0007100	apis|A0A8R1WBR5
OG7_0002751	apis|A0A8R2B839
OG7_0000082	apis|A0A8R2NSX9
OG7_0007661	apis|A0A8R2F6U8
OG7_0004302	ahos|F4B6V6
OG7_0008501	apis|C4WUU4
OG7_0001646	apis|A0A8R2A5G2
OG7_0004149	ahos|F4B542
OG7_0000903	apis|A0A8R2A5C6
OG7_0000220	apis|A0A8R2NS36
OG7_0002425	ahos|F4B7C4
OG7_0000796	apis|A0A8R2D745
OG7_0003777	apis|A0A8R2A646
OG7_0005157	apis|C4WWM8
OG7_0006923	apis|A0A8R2BAT8
OG7_0006200	apis|A0A8R2A9X9
OG7_0001689	apis|A0A8R2B7F4
OG7_0003487	apis|A0A8R2ACU3
OG7_0004186	ahos|F4B7E1
OG7_0002276	apis|A0A8R1W6Q1
OG7_0006189	apis|C4WTR8
OG7_0003744	apis|A0A8R1XI45
OG7_0007472	apis|A0A8R2HC57
OG7_0006755	apis|A0A8R2FB90
OG7_0001731	apis|A0A8R2D6M6
OG7_0005269	apis|C4WWV3
OG7_0007782	apis|A0A8R2FAZ5
OG7_0000337	ahos|F4B776
OG7_0003748	apis|A0A8R2A4P9
OG7_0000815	ahos|F4B781
OG7_0006146	apis|C4WT07
OG7_0006421	apis|A0A8R2NSN6
OG7_0000401	apis|A0A8R1W6L5
OG7_0008216	apis|A0A8R2D2V3
OG7_0005610	apis|A0A8R2ACG1
OG7_0005232	apis|A0A8R2AE41
OG7_0007096	apis|A0A8R2D7F5
OG7_0000344	apis|A0A8R2JT27
OG7_0004813	ahos|F4B5E1
OG7_0002360	ahos|F4B4Q3
OG7_0001002	apis|A0A8R1WAY7
OG7_0000348	apis|A0A8R2FF22
OG7_0003737	apis|A0A8R1W3C9
OG7_0002861	apis|A0A8R2JPT5
OG7_0000609	apis|A0A8R2JS17
OG7_0007724	apis|C4WW21
OG7_0006629	apis|A0A8R1W530
OG7_0001256	apis|A0A8R2NT69
OG7_0007728	apis|A0A8R2B977
OG7_0001983	apis|A0A8R2NSM6
OG7_0003556	apis|A0A8R1W5Q4
OG7_0005272	apis|C4WTI7
OG7_0008207	apis|A0A8R2B7B5
OG7_0001129	apis|A0A8R2H8R6
OG7_0004626	ahos|F4B487
OG7_0007469	apis|A0A8R1W0S0
OG7_0004667	ahos|F4B9M6
OG7_0006865	apis|A0A8R2D717
OG7_0006004	apis|A0A8R2D6J5
OG7_0001481	apis|A0A8R2AZ77
OG7_0000377	apis|A0A8R2H5Q0
OG7_0003396	apis|A0A8R2A4V3
OG7_0000028	apis|A0A8R2A6P5
OG7_0007432	apis|A0A8R2NJT9
OG7_0002236	apis|A0A8R2H815
OG7_0001771	apis|A0A8R2NKI6
OG7_0006008	apis|C4WUC8
OG7_0004905	ahos|F4B863
OG7_0000024	apis|A0A8R2NTC9
OG7_0005489	apis|A0A8R2A6Q9
OG7_0006023	apis|A0A8R2B577
OG7_0002766	apis|A0A8R2D6X0
OG7_0003785	apis|A0A8R2NJV9
OG7_0007656	apis|A0A8R2A6F6
OG7_0003159	apis|A0A8R2AEX5
OG7_0004383	ahos|F4B573
OG7_0005779	apis|C4WW79
OG7_0000003	apis|A0A8R2FDJ7
OG7_0002727	apis|A0A8R1W9W6
OG7_0005446	apis|A0A8R2D6W1
OG7_0003475	apis|A0A8R2B513
OG7_0005852	apis|A0A8R1TDQ0
OG7_0005121	apis|A0A8R1XL95
OG7_0000982	apis|A0A8R2JV83
OG7_0007703	apis|A0A8R2H926
OG7_0007996	apis|A0A8R2D850
OG7_0001410	apis|A0A8R2NUE9
OG7_0001305	apis|A0A8R2AZI7
OG7_0001876	apis|A0A8R2NKG8
OG7_0001567	ahos|F4B558
OG7_0003267	apis|A0A8R2D4V8
OG7_0004754	ahos|F4B835
OG7_0003790	apis|A0A8R2NND5
OG7_0006343	apis|A0A8R2B5W4
OG7_0003226	apis|A0A8R2FCG1
OG7_0006457	apis|A0A8R1VZM7
OG7_0004758	ahos|F4B799
OG7_0001526	apis|C4WXP1
OG7_0007230	apis|A0A8R2BB18
OG7_0007612	apis|A0A8R1W5I8
OG7_0004530	ahos|F4B9U1
OG7_0007114	apis|A0A8R2A2J6
OG7_0007047	apis|Q1ZZR0
OG7_0001957	apis|A0A8R2H894
OG7_0007118	apis|A0A8R1W3U1
OG7_0000484	apis|A0A8R2H9V7
OG7_0000778	apis|A0A8R2F6T8
OG7_0005780	apis|A0A8R2A6A4
OG7_0006197	apis|A0A8R2D8P4
OG7_0002303	ahos|F4B7Z9
OG7_0005816	apis|A0A8R2F7F1
OG7_0006910	apis|C4WUB7
OG7_0000213	apis|A0A8R2F978
OG7_0005470	apis|A0A8R2A0I2
OG7_0000774	apis|C4WXB6
OG7_0000488	apis|R4VGP4
OG7_0001021	apis|A0A8R1W561
OG7_0001341	apis|A0A8R2JR46
OG7_0008584	apis|C4WV34
OG7_0002298	ahos|F4B8C5
OG7_0003334	apis|A0A8R2JUN1
OG7_0002937	apis|A0A8R1W3V1
OG7_0003499	apis|A0A8R1VYE8
OG7_0001697	apis|A0A8R1W133
OG7_0005795	apis|A0A8R1WXY0
OG7_0000747	apis|A0A8R2H788
OG7_0003338	apis|A0A8R2JT69
OG7_0002294	ahos|F4B569
OG7_0008588	apis|A0A8R2NUM9
OG7_0008625	apis|A0A8R2H9E7
OG7_0007366	apis|A0A8R2AAN5
OG7_0007074	apis|A0A8R2H952
OG7_0005623	apis|A0A8R1W8D9
OG7_0001719	apis|A0A8R1W2V4
OG7_0007078	apis|A0A8R2A294
OG7_0007327	apis|A0A8R1W1F2
OG7_0001840	apis|A0A8R2JTG5
OG7_0005102	apis|Q201X6
OG7_0006981	apis|A0A8R2A825
OG7_0008177	apis|C4WY07
OG7_0005604	apis|A0A8R2JNJ7
OG7_0005711	apis|A0A8R2JTB4
OG7_0005608	apis|A0A8R2A3E7
OG7_0000060	apis|A0A8R2NJT1
OG7_0002048	apis|C4WTR6
OG7_0003809	apis|A0A8R1W3B1
OG7_0005349	apis|A0A8R2H2A4
OG7_0005386	apis|A0A8R2D1K9
OG7_0003512	apis|A0A8R1W3Z0
OG7_0001630	apis|A0A8R2NX76
OG7_0004443	ahos|F4B6D4
OG7_0002990	apis|C4WUT9
OG7_0004357	ahos|F4B9J7
OG7_0002117	apis|A0A8R2H5W8
OG7_0002044	apis|A0A8R2AEL7
OG7_0001212	apis|A0A8R1X0F5
OG7_0006130	apis|A0A8R2D5K2
OG7_0002985	apis|A0A8R1W1G5
OG7_0002324	apis|A0A8R1WYN0
OG7_0006214	apis|A0A8R2NM85
OG7_0003966	apis|A0A8R2F8N3
OG7_0006773	apis|A0A8R2JUD8
OG7_0002077	apis|A0A8R1W4S3
OG7_0003927	apis|A0A8R1VZ73
OG7_0005029	ahos|F4B8W3
OG7_0006483	apis|A0A8R2FD87
OG7_0006218	apis|A0A8R1W7Z2
OG7_0002328	apis|A0A8R2D6V1
OG7_0004941	ahos|F4B5G6
OG7_0008144	apis|A0A8R2A5L5
OG7_0008017	apis|C4WTC6
OG7_0004597	ahos|F4B895
OG7_0007934	apis|A0A8R2JLT6
OG7_0008642	apis|A0A8R1W2X1
OG7_0007297	apis|A0A8R1W6L4
OG7_0007938	apis|A0A8R2FDA1
OG7_0008148	apis|A0A8R2B6V4
OG7_0007760	apis|A0A8R1W0D0
OG7_0003051	apis|A0A8R1WA08
OG7_0002650	apis|A0A8R2F9V5
OG7_0008545	apis|C4WY38
OG7_0002106	apis|A0A8R1W5P9
OG7_0001670	apis|A0A8R2JSG3
OG7_0001921	apis|C4WRJ2
OG7_0006010	apis|A0A8R2H8B3
OG7_0001057	ahos|F4B999
OG7_0002382	ahos|F4BA41
OG7_0004291	ahos|F4B812
OG7_0005543	apis|A0A8R1W8Z1
OG7_0006892	apis|A0A8R1XF38
OG7_0007947	apis|A0A8R2JT84
OG7_0007591	apis|A0A8R1W920
OG7_0008137	apis|A0A8R2B1R1
OG7_0007978	apis|A0A8R2A213
OG7_0007163	apis|A0A8R2NUX4
OG7_0001894	apis|A0A8R2JQ95
OG7_0007850	apis|A0A8R1W5J3
OG7_0007974	apis|C4WVV8
OG7_0001423	apis|A0A8R2FAA6
OG7_0003615	apis|A0A8R2NTL0
OG7_0001898	apis|A0A8R2F7Y5
OG7_0008006	apis|A0A8R2D4I6
OG7_0002037	apis|A0A8R1W2Q7
OG7_0007351	apis|A0A8R2H659
OG7_0000268	apis|A0A8R2JN92
OG7_0005497	apis|A0A8R2A5T7
OG7_0000445	apis|A0A8R2JNS2
OG7_0002240	apis|A0A8R2NN27
OG7_0000264	apis|A0A8R2H6R4
OG7_0006170	apis|A0A8R2A764
OG7_0008252	apis|A0A8R2B3T9
OG7_0006733	apis|A0A8R2A6U4
OG7_0000734	apis|A0A8R2NND0
OG7_0005430	apis|C4WV12
OG7_0006263	apis|A0A8R2NMP0
OG7_0002090	apis|A0A8R1W4D3
OG7_0002944	apis|A0A8R2B9E7
OG7_0003691	apis|A0A8R2BA53
OG7_0004820	ahos|F4BA37
OG7_0000738	apis|A0A8R2D692
OG7_0003347	apis|A0A8R2D3X5
OG7_0005807	apis|A0A8R2A5C5
OG7_0003453	apis|A0A8R2D5Q9
OG7_0000960	apis|A0A8R2AA59
OG7_0002948	apis|A0A8R1W378
OG7_0005183	apis|A0A8R1W294
OG7_0001408	apis|A0A8R2NTS4
OG7_0004321	ahos|F4B9S7
OG7_0002812	apis|A0A8R2NXI9
OG7_0008185	apis|A0A8R2BA51
OG7_0001404	apis|A0A8R2NLJ5
OG7_0008522	apis|A0A8R2FF99
OG7_0006081	apis|A0A8R1VYY6
OG7_0007270	apis|C4WUJ6
OG7_0002509	apis|A0A8R2D7D9
OG7_0004570	ahos|F4B488
OG7_0007038	apis|C4WVJ6
OG7_0006402	apis|A0A8R1X2T8
OG7_0003951	apis|A0A8R2D4W1
OG7_0004041	apis|A0A8R2D7A1
OG7_0008190	apis|A0A8R1WXS3
OG7_0007034	apis|A0A8R1W4I6
OG7_0000422	apis|A0A8R2D1T4
OG7_0002977	apis|Q201Y3
OG7_0004215	ahos|F4B5R0
OG7_0003027	apis|A0A8R2H7N3
OG7_0005929	apis|A0A8R2B8W1
OG7_0007515	apis|A0A8R2JLV4
OG7_0003378	apis|A0A8R2AC66
OG7_0002085	apis|A0A8R2AB22
OG7_0003066	apis|A0A8R2D330
OG7_0003374	apis|A0A8R2H6Y0
OG7_0004811	ahos|F4B9K7
OG7_0007969	apis|A0A8R2AYN5
OG7_0002322	apis|A0A8R2A5Z6
OG7_0006212	apis|A0A8R2H9W3
OG7_0008309	apis|A0A8R2NN70
OG7_0006630	apis|A0A8R2FA24
OG7_0004310	ahos|F4B724
OG7_0002150	apis|D2T1E4
OG7_0001981	apis|A0A8R2NKT7
OG7_0008648	apis|A0A8R2A4L0
OG7_0008142	apis|A0A8R1W4M6
OG7_0000279	apis|A0A8R2A232
OG7_0007932	apis|A0A8R1W3Y8
OG7_0002863	apis|A0A8R2NRT2
OG7_0004405	ahos|F4B6W5
OG7_0008644	apis|A0A8R1WYM3
OG7_0005108	apis|A0A8R2A2G3
OG7_0005104	apis|A0A8R2D603
OG7_0003035	apis|A0A8R2NQD7
OG7_0002799	apis|A0A8R2B7M6
OG7_0005602	apis|A0A8R2A156
OG7_0002617	apis|A0A8R1W1V9
OG7_0003514	apis|A0A8R2JLW6
OG7_0001130	apis|A0A8R2JM75
OG7_0001773	apis|A0A8R2D424
OG7_0002042	apis|A0A8R2NNV9
OG7_0001214	apis|A0A8R2A793
OG7_0003518	apis|A0A8R2B5S3
OG7_0007375	apis|A0A8R2D324
OG7_0007806	apis|A0A8R1W728
OG7_0001218	apis|A0A8R2H4E2
OG7_0001483	ahos|F4B832
OG7_0008050	apis|A0A8R1W6H4
OG7_0008125	apis|A0A8R1W608
OG7_0000001	apis|A0A8R2F944
OG7_0002292	ahos|F4B9I6
OG7_0001197	apis|A0A8R1W8N7
OG7_0001910	apis|A0A8R1WZ78
OG7_0007496	apis|A0A8R2H4T3
OG7_0004381	ahos|F4BA14
OG7_0008582	apis|A0A8R1W1C0
OG7_0006021	apis|A0A8R2JUA0
OG7_0003332	apis|A0A8R1VYV8
OG7_0002345	apis|C4WVI6
OG7_0006957	apis|C4WS06
OG7_0005123	apis|A0A8R2ADN7
OG7_0004716	ahos|F4B8B4
OG7_0007072	apis|A0A8R2H3U7
OG7_0004880	ahos|F4B6M4
OG7_0003369	apis|A0A8R2AAK0
OG7_0005989	apis|A0A8R2H9U2
OG7_0007618	apis|C4WXA7
OG7_0004895	ahos|F4BA29
OG7_0003087	apis|J9KA66
OG7_0006719	apis|A0A8R2A739
OG7_0000859	apis|A0A8R2JUE2
OG7_0007701	apis|A0A8R2JVW0
OG7_0007614	apis|A0A8R2A7H5
OG7_0005946	apis|A0A8R2D4R8
OG7_0007112	apis|A0A8R1W6R9
OG7_0006840	apis|A0A8R2A5L0
OG7_0003975	apis|A0A8R2FAW0
OG7_0002025	apis|A0A8R2D5D8
OG7_0000772	apis|A0A8R1W538
OG7_0006341	apis|A0A8R2B3W1
OG7_0006697	apis|A0A8R2A972
OG7_0000482	apis|A0A8R1VY53
OG7_0006408	apis|A0A8R2BA86
OG7_0007032	apis|A0A8R2B5Q0
OG7_0000424	apis|A0A8R2AYV5
OG7_0005720	apis|A0A8R1XHR6
OG7_0005296	apis|A0A8R2A3I2
OG7_0004707	ahos|F4B696
OG7_0000893	apis|A0A8R2JLP5
OG7_0006404	apis|A0A8R1W351
OG7_0001081	ahos|F4B518
OG7_0000428	apis|A0A8R2JPP2
OG7_0003563	apis|A0A8R1W3J0
OG7_0007069	apis|A0A8R1W5T8
OG7_0001263	apis|A0A8R2JTU3
OG7_0003372	apis|A0A8R2B6L4
OG7_0005683	apis|A0A8R1ZYY8
OG7_0003191	apis|A0A8R2FDM9
OG7_0007387	apis|A0A8R2JUI6
OG7_0000732	apis|A0A8R2AB09
OG7_0002942	apis|A0A8R2H5R7
OG7_0008524	apis|A0A8R2A3Z7
OG7_0001402	apis|A0A8R2H545
OG7_0003935	apis|A0A8R2F8B9
OG7_0002818	apis|A0A8R1W4H5
OG7_0008528	apis|A0A8R2NNE9
OG7_0000769	apis|A0A8R2AC97
OG7_0002814	apis|A0A8R1TDE3
OG7_0000239	apis|A0A8R2H7K6
OG7_0006057	apis|A0A8R2NLB7
OG7_0005367	apis|A0A8R2D481
OG7_0003115	apis|A0A8R2FBH3
OG7_0007972	apis|A0A8R2NS29
OG7_0008503	apis|A0A8R2F8Z7
OG7_0007663	apis|A0A8R2BA10
OG7_0002753	apis|A0A8R2A699
OG7_0005326	apis|C6SUQ8
OG7_0001892	apis|A0A8R2NMK3
OG7_0000262	apis|A0A8R2BAJ6
OG7_0008254	apis|A0A8R2HBI5
OG7_0006921	apis|A0A8R2A9D1
OG7_0006670	apis|A0A8R2NTD3
OG7_0005505	apis|A0A8R2NW73
OG7_0000901	apis|A0A8R2JL04
OG7_0001010	apis|A0A8R2FCN0
OG7_0008258	apis|A0A8R2B9V8
OG7_0007335	apis|A0A8R1W6G1
OG7_0007817	apis|C4WW43
OG7_0001170	apis|A0A8R2NM82
OG7_0001733	apis|A0A8R2B5J8
