OG0000000: ccin-old|CC1G_04709 ccin-old|CC1G_04741 ccin-old|CC1G_06911
OG0000001: ccin-old|CC1G_00636 ccin-old|CC1G_14797
OG0000002: ccin-old|CC1G_09593 ccin-old|CC1G_15139
OG0000003: ccin-old|CC1G_09472 ccin-old|CC1G_12316
OG0000004: ccin-old|CC1G_04494
OG0000110: ccin-old|CC1G_12295
OG0000111: ccin-old|CC1G_13781
OG0000112: ccin-old|CC1G_09490
OG0000113: ccin-old|CC1G_10574
OG0000114: ccin-old|CC1G_14360
OG0000115: ccin-old|CC1G_04330
OG0000116: ccin-old|CC1G_15040
OG0000117: ccin-old|CC1G_06885
OG0000118: ccin-old|CC1G_05245
OG0000119: ccin-old|CC1G_10161
OG0000120: ccin-old|CC1G_02681
OG0000121: ccin-old|CC1G_09309
OG0000122: ccin-old|CC1G_02651
OG0000123: ccin-old|CC1G_02758
OG0000124: ccin-old|CC1G_00944
OG0000125: ccin-old|CC1G_06892
OG0000126: ccin-old|CC1G_05095
OG0000127: ccin-old|CC1G_03700
OG0000128: ccin-old|CC1G_02343
OG0000129: ccin-old|CC1G_08768
OG0000130: ccin-old|CC1G_09966
OG0000131: ccin-old|CC1G_02334
OG0000132: ccin-old|CC1G_02043
OG0000133: ccin-old|CC1G_05804
OG0000134: ccin-old|CC1G_00527
OG0000135: ccin-old|CC1G_00212
OG0000136: ccin-old|CC1G_08350
OG0000137: ccin-old|CC1G_06244
OG0000138: ccin-old|CC1G_06964
OG0000139: ccin-old|CC1G_13587
OG0000140: ccin-old|CC1G_06585
OG0000141: ccin-old|CC1G_01400
OG0000142: ccin-old|CC1G_09980
OG0000143: ccin-old|CC1G_01566
OG0000144: lafr|G3TLL7
OG0000145: lafr|G3SYF1
OG0000146: lafr|G3STM8
OG0000147: lafr|G3SQL5
OG0000148: lafr|G3T1D7
OG0000149: lafr|G3T9Y0
OG0000150: lafr|G3T540
OG0000151: lafr|G3U4D8
OG0000152: lafr|G3TWX7
OG0000153: lafr|G3TKC2
OG0000154: lafr|G3SU91
OG0000155: lafr|G3UEI9
OG0000156: lafr|G3T6R0
OG0000157: lafr|G3TQT9
OG0000158: lafr|G3TDW8
OG0000159: lafr|G3TDA6
OG0000160: lafr|G3UBK6
OG0000161: lafr|G3SVN9
OG0000162: lafr|G3TXG7
OG0000163: lafr|G3UDH6
OG0000164: lafr|G3UAC3
OG0000165: lafr|G3UCU5
OG0000166: lafr|G3T4B6
OG0000167: lafr|G3T950
OG0000168: lafr|G3SVE4
OG0000169: lafr|G3SWN0
OG0000170: lafr|G3UF07
OG0000171: lafr|G3TVG4
OG0000172: lafr|G3U025
OG0000173: lafr|G3TYX3
OG0000174: test|G3TYX3
OG0000175: test|G3TYX2
